issueNumber,frontBalls,backBalls
25091,"1,19,22,25,27","3,10"
25090,"6,14,19,22,27","1,4"
25089,"2,11,12,32,34","3,10"
25088,"8,9,10,11,35","5,11"
25087,"5,13,14,16,20","3,8"
25086,"2,6,23,24,33","1,10"
25085,"2,5,9,14,33","4,9"
25084,"9,11,13,18,29","4,11"
25083,"12,17,18,20,34","2,5"
25082,"2,3,4,12,26","1,8"
25081,"1,4,6,15,18","2,3"
25080,"9,10,18,22,24","3,12"
25079,"2,14,32,34,35","5,11"
25078,"7,10,15,21,24","5,6"
25077,"12,14,16,19,28","1,4"
25076,"11,18,22,25,29","4,12"
25075,"8,12,16,19,35","6,9"
25074,"2,11,15,18,21","5,10"
25073,"1,4,17,33,34","3,9"
25072,"4,7,15,24,29","1,4"
25071,"1,8,25,31,33","5,11"
25070,"8,9,15,20,22","4,12"
25069,"4,6,7,33,34","9,10"
25068,"1,4,17,20,22","4,10"
25067,"6,10,12,21,22","1,6"
25066,"15,18,27,28,34","3,6"
25065,"7,25,32,33,35","4,9"
25064,"5,10,18,20,34","1,8"
25063,"5,18,26,29,32","7,10"
25062,"14,20,27,28,29","6,10"
25061,"2,11,16,23,28","5,10"
25060,"12,14,19,33,34","1,7"
25059,"3,9,10,11,26","1,2"
25058,"6,11,15,21,23","1,7"
25057,"9,10,11,12,29","1,10"
25056,"12,15,28,29,32","8,11"
25055,"8,10,25,29,30","1,2"
25054,"3,12,16,21,29","1,2"
25053,"14,23,29,30,33","6,12"
25052,"2,4,11,29,30","2,8"
25051,"2,4,13,29,31","5,12"
25050,"15,18,20,21,34","4,10"
25049,"9,20,22,29,34","3,8"
25048,"2,6,17,23,35","6,11"
25047,"3,10,11,12,21","2,3"
25046,"4,10,15,20,34","4,7"
25045,"8,11,21,23,27","3,8"
25044,"15,17,21,22,26","2,8"
25043,"3,16,20,21,27","9,11"
25042,"6,8,11,18,20","5,11"
25041,"3,4,21,22,27","5,11"
25040,"2,8,16,31,32","4,12"
25039,"3,7,14,15,19","6,10"
25038,"7,8,20,26,34","8,9"
25037,"5,20,23,27,31","4,6"
25036,"4,7,13,27,30","2,6"
25035,"22,25,28,29,30","4,8"
25034,"4,15,22,28,33","6,8"
25033,"1,2,8,10,33","10,12"
25032,"12,22,25,27,28","1,2"
25031,"14,18,20,25,35","1,7"
25030,"3,9,14,24,28","6,7"
25029,"5,9,26,31,33","3,10"
25028,"6,8,20,25,29","3,7"
25027,"3,6,11,13,20","1,11"
25026,"2,3,7,17,30","1,9"
25025,"3,6,8,10,25","3,7"
25024,"6,12,13,16,23","5,8"
25023,"10,20,22,24,25","9,12"
25022,"1,11,13,27,29","4,10"
25021,"10,18,25,30,35","3,12"
25020,"1,9,12,22,29","5,9"
25019,"7,8,11,18,23","3,11"
25018,"1,7,9,20,28","1,4"
25017,"10,12,26,28,31","3,10"
25016,"5,7,12,20,29","8,12"
25015,"7,10,24,31,35","1,8"
25014,"5,19,22,29,35","2,10"
25013,"14,16,18,20,35","2,5"
25012,"2,18,19,21,25","2,11"
25011,"3,6,7,11,27","2,8"
25010,"5,21,28,30,32","7,12"
25009,"3,19,21,30,32","6,9"
25008,"1,5,7,13,35","5,12"
25007,"15,22,23,25,31","1,9"
25006,"3,4,13,19,35","3,10"
25005,"5,6,8,31,32","9,11"
25004,"2,5,9,13,33","1,7"
25003,"10,25,30,32,34","4,10"
25002,"19,21,22,28,32","6,9"
25001,"5,8,16,17,27","4,7"
24152,"1,2,7,8,31","2,10"
24151,"5,12,17,19,35","10,11"
24150,"4,11,23,25,34","5,7"
24149,"2,5,16,18,22","7,9"
24148,"6,9,20,32,35","8,11"
24147,"12,18,21,22,31","1,7"
24146,"5,20,21,22,32","3,4"
24145,"1,6,9,22,24","1,3"
24144,"6,7,8,21,30","1,5"